"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2005","2005",,,"0","Units",,,5.30512386638692,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2006","2006",,,"0","Units",,,5.66131568768417,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2007","2007",,,"0","Units",,,5.5582032464305,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2008","2008",,,"0","Units",,,6.32169169243367,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2009","2009",,,"0","Units",,,6.72256525649649,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2010","2010",,,"0","Units",,,6.21773552851644,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2011","2011",,,"0","Units",,,5.86447330981239,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2012","2012",,,"0","Units",,,5.72887768782168,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2013","2013",,,"0","Units",,,5.739779909129,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2014","2014",,,"0","Units",,,5.90371909957603,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2015","2015",,,"0","Units",,,5.93125321850153,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2016","2016",,,"0","Units",,,5.46795803749093,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2017","2017",,,"0","Units",,,5.75373350315998,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2000","2000",,,"0","Units",,,37.2574225368109,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2001","2001",,,"0","Units",,,34.7788157717655,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2002","2002",,,"0","Units",,,35.1204291983494,,
"LVA","Latvia","TES13S","Total expenditure of general government, percentage of GDP","2003","2003",,,"0","Units",,,33.3953370640255,,
